formula,T,Cₚ
B2O3,1400.0,134.306
B2O3,1300.0,131.29399999999998
B2O3,1200.0,128.072
B2O3,1100.0,124.516
B2O3,1000.0,120.625
B2O3,900.0,116.19
B2O3,800.0,111.169
B2O3,723.0,106.69200000000001
B2O3,700.0,105.228
B2O3,600.0,98.115
B2O3,500.0,89.287
B2O3,400.0,77.94800000000001
B2O3,300.0,62.927
B2O3,298.0,62.588
Be1I2,1400.0,89.34100000000001
Be1I2,1300.0,89.115
Be1I2,1200.0,88.78
Be1I2,1100.0,88.337
Be1I2,1000.0,87.789
Be1I2,900.0,87.132
Be1I2,800.0,86.366
Be1I2,753.0,85.944
Be1I2,600.0,84.19
Be1I2,500.0,81.638
Be1I2,400.0,76.868
Be1I2,300.0,69.128
Be1I2,298.0,68.961
Be1F3Li1,1100.0,192.46400000000003
Be1F3Li1,1000.0,179.912
Be1F3Li1,900.0,167.36
Be1F3Li1,800.0,154.808
Be1F3Li1,700.0,142.256
Be1F3Li1,650.0,135.98
Be1F3Li1,600.0,129.704
Be1F3Li1,500.0,117.152
Be1F3Li1,400.0,104.6
Be1F3Li1,300.0,92.04799999999999
Be1F3Li1,298.0,91.816
Al1Cl4K1,900.0,199.995
Al1Cl4K1,800.0,196.648
Al1Cl4K1,700.0,190.79
Al1Cl4K1,600.0,183.176
Al1Cl4K1,500.0,174.305
Al1Cl4K1,400.0,165.477
Al1Cl4K1,300.0,156.649
Al1Cl4K1,298.0,156.482
B2Mg1,1900.0,92.242
B2Mg1,1800.0,90.249
B2Mg1,1700.0,88.162
B2Mg1,1600.0,85.98100000000001
B2Mg1,1500.0,83.64299999999999
B2Mg1,1400.0,81.17
B2Mg1,1300.0,78.795
B2Mg1,1200.0,76.442
B2Mg1,1100.0,74.078
B2Mg1,1000.0,71.714
B2Mg1,900.0,69.16199999999999
B2Mg1,800.0,66.52600000000001
B2Mg1,700.0,64.015
B2Mg1,600.0,61.379
B2Mg1,500.0,58.409
B2Mg1,400.0,54.391999999999996
B2Mg1,300.0,47.865
B2Mg1,298.0,47.823
Be1F2,1200.0,87.529
